"Following directories not found or not writable, please change permissions to: ","Following directories not found or not writable, please change permissions to: "
"Revolution Slider","Revolution Slider"
"All Sliders","All Sliders"
"Slider Settings","Slider Settings"
"Slide Editor","Slide Editor"
"Order Products","Order Products"
"Navigation Editor","Navigation Editor"
Error,Error
"Revolution Slider - ","Revolution Slider - "
"Css generation error: %s","Css generation error: %s"
"Problem with Slider Revolution upgrade. Database was not updated.","Problem with Slider Revolution upgrade. Database was not updated."
"Problem with Slider Revolution installation. Database was not created.","Problem with Slider Revolution installation. Database was not created."
"Next >","Next >"
"< Prev","< Prev"
Image,Image
of,of
Close,Close
"This feature requires inline frames. You have iframes disabled or your browser does not support them.","This feature requires inline frames. You have iframes disabled or your browser does not support them."
"Please Wait...","Please Wait..."
Clear,Clear
Default,Default
"Select Color","Select Color"
"Current Color","Current Color"
"Select the Navigation Category to Edit","Select the Navigation Category to Edit"
"Add New","Add New"
#ID,#ID
"Skin Name","Skin Name"
Arrows,Arrows
Bullets,Bullets
Thumbs,Thumbs
Tabs,Tabs
Actions,Actions
Editing,Editing
Remove,Remove
Markup,Markup
"Reset Defaults","Reset Defaults"
Parameters,Parameters
"Slide Title","Slide Title"
"Slide Description","Slide Description"
"Parameter ","Parameter "
CSS,CSS
"Style Helper","Style Helper"
"Color Value","Color Value"
Add,Add
"Border Radius","Border Radius"
"Top Left","Top Left"
"Top Right","Top Right"
"Bottom Right","Bottom Right"
"Bottom Left","Bottom Left"
Border,Border
Top,Top
Right,Right
Bottom,Bottom
Left,Left
Opacity,Opacity
Text-Shadow,Text-Shadow
Angle,Angle
Distance,Distance
Blur,Blur
Box-Shadow,Box-Shadow
"Font Family","Font Family"
Resets,Resets
"Classes & Style","Classes & Style"
"Only Classes","Only Classes"
"Live Preview - Hover & Click for test","Live Preview - Hover & Click for test"
"Suggested Width:","Suggested Width:"
"Suggested Height:","Suggested Height:"
"Save All Changes","Save All Changes"
View,View
Edit,Edit
"Custom Navigations","Custom Navigations"
"Default Navigations","Default Navigations"
Help,Help
"Slide Editor ","Slide Editor "
"Save Slide","Save Slide"
"CSS Global","CSS Global"
Preview,Preview
"<b>Warning!!! </b>The jquery ui javascript include that is loaded by some of the plugins are custom made and not contain needed components like 'autocomplete' or 'draggable' function.
		Without those functions the editor may not work correctly. Please remove those custom jquery ui includes in order the editor will work correctly.","<b>Warning!!! </b>The jquery ui javascript include that is loaded by some of the plugins are custom made and not contain needed components like 'autocomplete' or 'draggable' function.
		Without those functions the editor may not work correctly. Please remove those custom jquery ui includes in order the editor will work correctly."
"Insert Meta","Insert Meta"
Product,Product
WooCommerce,WooCommerce
Events,Events
Flickr,Flickr
Instagram,Instagram
Twitter,Twitter
Facebook,Facebook
YouTube,YouTube
Vimeo,Vimeo
Images,Images
"Any custom product attribute","Any custom product attribute"
"Product Name","Product Name"
"Product Price","Product Price"
"Short Description","Short Description"
Description,Description
"Link to view product","Link to view product"
"Add to cart link","Add to cart link"
"Add to wishlist link","Add to wishlist link"
"Product Image URL","Product Image URL"
"Product Image &lt;img /&gt;","Product Image &lt;img /&gt;"
SKU,SKU
"Full Price","Full Price"
"Single Price","Single Price"
"Single Price without currency","Single Price without currency"
"In Stock","In Stock"
"Stock Quantity","Stock Quantity"
"Number of Ratings","Number of Ratings"
"Number of Reviews","Number of Reviews"
"Text Rating","Text Rating"
"Star Rating","Star Rating"
Categories,Categories
Tags,Tags
"Add to Cart URL","Add to Cart URL"
"Add to Cart Button","Add to Cart Button"
"Event start date","Event start date"
"Event end date","Event end date"
"Event start time","Event start time"
"Event end time","Event end time"
"Event ID","Event ID"
"Event location name","Event location name"
"Event location slug","Event location slug"
"Event location address","Event location address"
"Event location town","Event location town"
"Event location state","Event location state"
"Event location postcode","Event location postcode"
"Event location region","Event location region"
"Event location country","Event location country"
"Post Title","Post Title"
"Post content","Post content"
"The link to the post","The link to the post"
"Date created","Date created"
Username,Username
Views,Views
"Image URL","Image URL"
"Image &lt;img /&gt;","Image &lt;img /&gt;"
Title,Title
Content,Content
Link,Link
"Number of Likes","Number of Likes"
"Number of Comments","Number of Comments"
"Pulbishing Date","Pulbishing Date"
"Retweet Count","Retweet Count"
"Favorite Count","Favorite Count"
"Last Modify Date","Last Modify Date"
Excerpt,Excerpt
"Number of Views","Number of Views"
"Advanced CSS","Advanced CSS"
"Style from Options","Style from Options"
"Editable via Option Fields, Saved in the Class:","Editable via Option Fields, Saved in the Class:"
"Additional Custom Styling","Additional Custom Styling"
"Appended in the Class:","Appended in the Class:"
"Save As","Save As"
"Save As:","Save As:"
"Rename CSS","Rename CSS"
"Rename to:","Rename to:"
"Layer Inline CSS","Layer Inline CSS"
"Advanced Custom Styling","Advanced Custom Styling"
"Appended Inline to the Layer Markup","Appended Inline to the Layer Markup"
"Save Under","Save Under"
"Save Under:","Save Under:"
"Update Static Layers","Update Static Layers"
updating,updating
"Slides Overview","Slides Overview"
"Delete Slide","Delete Slide"
"Rename Animation","Rename Animation"
"Delete this slide?","Delete this slide?"
"Edit Posts","Edit Posts"
"This is a list of posts that are taken from multiple sources.","This is a list of posts that are taken from multiple sources."
"Sort by","Sort by"
"Updating Sorting...","Updating Sorting..."
"Post List","Post List"
"Saving Order","Saving Order"
"No Posts Found","No Posts Found"
"Unpublish Post","Unpublish Post"
"Publish Post","Publish Post"
"Edit Post","Edit Post"
"Click to change the slide image. Note: The post featured image will be changed.","Click to change the slide image. Note: The post featured image will be changed."
"no image","no image"
Delete,Delete
"Warning! Removing this entry will cause the original wordpress post to be deleted.","Warning! Removing this entry will cause the original wordpress post to be deleted."
"Select Slide Image","Select Slide Image"
"Global Settings","Global Settings"
"Revolution Sliders","Revolution Sliders"
"Sort By:","Sort By:"
"By ID","By ID"
"By Name","By Name"
"By Type","By Type"
"By Favorit","By Favorit"
"Filter By:","Filter By:"
All,All
Products,Products
Gallery,Gallery
"No Sliders Found","No Sliders Found"
"Standard Embeding","Standard Embeding"
"For the","For the"
"CMS Block or CMS Page content","CMS Block or CMS Page content"
"insert the shortcode:","insert the shortcode:"
"Or use <b>Revolution Slider Widget</b>. In CMS editor click Insert Widget icon or button. Select <b>NWDthemes Revolution Slider</b> widget. In <b>Widget Options</b> select slider you want to insert and click <b>Insert Widget</b> button.","Or use <b>Revolution Slider Widget</b>. In CMS editor click Insert Widget icon or button. Select <b>NWDthemes Revolution Slider</b> widget. In <b>Widget Options</b> select slider you want to insert and click <b>Insert Widget</b> button."
"To create Revolution Slider","To create Revolution Slider"
"Widget Instance","Widget Instance"
"go to","go to"
"CMS > Widget","CMS > Widget"
" section page and push <b>Add New Widget Instance</b> button. Select <b>NWDthemes Revolution Slider</b> widget type, choose design package/theme and click <b>Continue</b>. Fill <b>Frontend Properties</b> form giving widget instance name, assign store views and sort order. Click <b>Add Layout Update</b> button and select pages and block you want to display widget on. Switch to <b>Widget Options</b> tab and select slider for this widget instance. Click <b>Save</b> to update widget options."," section page and push <b>Add New Widget Instance</b> button. Select <b>NWDthemes Revolution Slider</b> widget type, choose design package/theme and click <b>Continue</b>. Fill <b>Frontend Properties</b> form giving widget instance name, assign store views and sort order. Click <b>Add Layout Update</b> button and select pages and block you want to display widget on. Switch to <b>Widget Options</b> tab and select slider for this widget instance. Click <b>Save</b> to update widget options."
"Advanced Embeding","Advanced Embeding"
"From the","From the"
"XML layout","XML layout"
use,use
code,code
"Plugin Activation","Plugin Activation"
"Not Activated","Not Activated"
"Plugin Activated","Plugin Activated"
"Extension Updates","Extension Updates"
"Fresh versions to download for you","Fresh versions to download for you"
"Product Support","Product Support"
"Direct help from our qualified support team","Direct help from our qualified support team"
"Free Premium Sliders","Free Premium Sliders"
"Exclusive new slider exports for our direct customers","Exclusive new slider exports for our direct customers"
"Register Slider Revolution","Register Slider Revolution"
"Purchase Code","Purchase Code"
"You can learn how to find your purchase key <a target='_blank' href='http://www.themepunch.com/faq/where-to-find-the-purchase-code/'>here</a>","You can learn how to find your purchase key <a target='_blank' href='http://www.themepunch.com/faq/where-to-find-the-purchase-code/'>here</a>"
"In order to register your purchase code on another domain, deregister <br>it first by clicking the button below.","In order to register your purchase code on another domain, deregister <br>it first by clicking the button below."
"Reminder ! One registration per Website. If registered elsewhere please deactivate that registration first.","Reminder ! One registration per Website. If registered elsewhere please deactivate that registration first."
"Register the code","Register the code"
"Deregister the code","Deregister the code"
"Plugin Updates","Plugin Updates"
"Update Available","Update Available"
"Plugin up to date","Plugin up to date"
"Critical Update","Critical Update"
"Installed Version","Installed Version"
"Latest Available Version","Latest Available Version"
"Check for Updates","Check for Updates"
"Update Now","Update Now"
"Update to date","Update to date"
"Register to Access Update","Register to Access Update"
"Update to Stable (Free)","Update to Stable (Free)"
"System Requirements","System Requirements"
"Problem Found","Problem Found"
"No Problems","No Problems"
"Uploads folder writable","Uploads folder writable"
"Memory Limit","Memory Limit"
"Upload Max. Filesize","Upload Max. Filesize"
"Max. Post Size","Max. Post Size"
"Contact ThemePunch Server","Contact ThemePunch Server"
"Check Now","Check Now"
"Start Downloading Templates","Start Downloading Templates"
"Online Slider Library","Online Slider Library"
"Full examples for instant usage","Full examples for instant usage"
"Get Free Premium Sliders","Get Free Premium Sliders"
"Activate your plugin and profit","Activate your plugin and profit"
"How to Unlock Premium Features?","How to Unlock Premium Features?"
"Open Template Store","Open Template Store"
"Register to Access Store","Register to Access Store"
"ThemePunch Newsletter","ThemePunch Newsletter"
"Stay Updated","Stay Updated"
"Receive info on the latest product updates & products","Receive info on the latest product updates & products"
"Free Goodies","Free Goodies"
"Learn about free stuff we offer on a regular basis","Learn about free stuff we offer on a regular basis"
"Provide Feedback","Provide Feedback"
"Participate in survey and help us improve constantly","Participate in survey and help us improve constantly"
Subscribe,Subscribe
"Enter your E-Mail here","Enter your E-Mail here"
"Online Documentation","Online Documentation"
"The best start for Slider Revolution beginners","The best start for Slider Revolution beginners"
"Browse FAQ's","Browse FAQ's"
"Instant solutions for most problems","Instant solutions for most problems"
"Ticket Support","Ticket Support"
"Visit Support Center","Visit Support Center"
"Update History","Update History"
"Import Slider","Import Slider"
"Choose the import file","Choose the import file"
"Note: styles templates will be updated if they exist!","Note: styles templates will be updated if they exist!"
"Custom Animations:","Custom Animations:"
overwrite,overwrite
append,append
"Custom Navigations:","Custom Navigations:"
"Static Styles:","Static Styles:"
ignore,ignore
"Importing slider...","Importing slider..."
Duplicate,Duplicate
Title:,Title:
"Do It!","Do It!"
"Copy / move slide","Copy / move slide"
"Choose Slider","Choose Slider"
"Choose Operation","Choose Operation"
Copy,Copy
Move,Move
"General Settings","General Settings"
"Include RevSlider libraries globally:","Include RevSlider libraries globally:"
On,On
Off,Off
"ON - Add CSS and JS Files to all pages. </br>Off - CSS and JS Files will be only loaded on specified pages.","ON - Add CSS and JS Files to all pages. </br>Off - CSS and JS Files will be only loaded on specified pages."
"Pages to include RevSlider libraries:","Pages to include RevSlider libraries:"
"Specify the page handles that the front end includes will be included in. Example: cms_page_view,catalog_product_view","Specify the page handles that the front end includes will be included in. Example: cms_page_view,catalog_product_view"
"Enable Markup Export option:","Enable Markup Export option:"
"This will enable the option to export the Slider Markups to copy/paste it directly into websites.","This will enable the option to export the Slider Markups to copy/paste it directly into websites."
"Font Loading URL:","Font Loading URL:"
"Insert something in it and it will be used instead of http://fonts.googleapis.com/css?family= (For example: http://fonts.useso.com/css?family= which will also work for chinese visitors)","Insert something in it and it will be used instead of http://fonts.googleapis.com/css?family= (For example: http://fonts.useso.com/css?family= which will also work for chinese visitors)"
"Default Settings for Advanced Responsive Grid Sizes:","Default Settings for Advanced Responsive Grid Sizes:"
"Desktop Grid Width","Desktop Grid Width"
"Notebook Grid Width","Notebook Grid Width"
"Tablet Grid Width","Tablet Grid Width"
"Mobile Grid Width","Mobile Grid Width"
"Define the default Grid Sizes for devices: Desktop, Tablet and Mobile","Define the default Grid Sizes for devices: Desktop, Tablet and Mobile"
"Enable Logs:","Enable Logs:"
"Enable console logs for debugging.","Enable console logs for debugging."
"Disable Edit Slide Leave Confirmation:","Disable Edit Slide Leave Confirmation:"
"Disables confirmation window when leaving Slide Editor page.","Disables confirmation window when leaving Slide Editor page."
Update,Update
"Add Video Layout","Add Video Layout"
Source,Source
Sizing,Sizing
Settings,Settings
"Poster/Mobile Visibility","Poster/Mobile Visibility"
Arguments,Arguments
"Choose video type","Choose video type"
HTML5,HTML5
"From Stream","From Stream"
"Vimeo ID or URL","Vimeo ID or URL"
"example: 30300114","example: 30300114"
"YouTube ID or URL","YouTube ID or URL"
example,example
"Poster Image Url","Poster Image Url"
"Set Image","Set Image"
"Video MP4 Url","Video MP4 Url"
"Set Video","Set Video"
"Video WEBM Url","Video WEBM Url"
"Video OGV Url","Video OGV Url"
"Full Screen:","Full Screen:"
"Force Cover:","Force Cover:"
"Dotted Overlay:","Dotted Overlay:"
none,none
"2 x 2 Black","2 x 2 Black"
"2 x 2 White","2 x 2 White"
"3 x 3 Black","3 x 3 Black"
"3 x 3 White","3 x 3 White"
"Aspect Ratio:","Aspect Ratio:"
16:9,16:9
4:3,4:3
"Loop Video:","Loop Video:"
Disable,Disable
"Loop, Slide is paused","Loop, Slide is paused"
"Loop, Slide does not stop","Loop, Slide does not stop"
Autoplay:,Autoplay:
"On 1st Time","On 1st Time"
"Not on 1st Time","Not on 1st Time"
"Stop Other Videos:","Stop Other Videos:"
"Allow FullScreen:","Allow FullScreen:"
"Next Slide On End:","Next Slide On End:"
"Rewind at Slide Start:","Rewind at Slide Start:"
"Hide Controls:","Hide Controls:"
Mute:,Mute:
"Volume (0 - 100):","Volume (0 - 100):"
"Start at:","Start at:"
"i.e.: 0:17","i.e.: 0:17"
"End at:","End at:"
"i.e.: 2:41","i.e.: 2:41"
"Show Cover at Pause:","Show Cover at Pause:"
"Video Speed:","Video Speed:"
0.25,0.25
0.50,0.50
1,1
1.5,1.5
2,2
"Video Preload:","Video Preload:"
Auto,Auto
Metadata,Metadata
"Poster Image","Poster Image"
"Image Library","Image Library"
"Video Thumbnail","Video Thumbnail"
"Disable Video and Show<br>only Poster on Mobile:","Disable Video and Show<br>only Poster on Mobile:"
"No Poster on Mobile:","No Poster on Mobile:"
"Show Video and Show Poster","Show Video and Show Poster"
"Show Video and Hide Poster","Show Video and Hide Poster"
"Hide Video and Show Poster","Hide Video and Show Poster"
"Hide Video and Hide Poster","Hide Video and Hide Poster"
Arguments:,Arguments:
"Add This Video","Add This Video"
"Update Video","Update Video"
"Main Background","Main Background"
Thumbnail,Thumbnail
"Slide Animation","Slide Animation"
"Link & Seo","Link & Seo"
"Slide Info","Slide Info"
"Source Settings","Source Settings"
"Parallax / 3D","Parallax / 3D"
"Ken Burns","Ken Burns"
"Product Image","Product Image"
"Meta Image","Meta Image"
"Meta Handle","Meta Handle"
"Stream Image","Stream Image"
"Stream Video","Stream Video"
"Use Cover","Use Cover"
"Stream Video + Image","Stream Video + Image"
"Main / Background Image","Main / Background Image"
"Change Image","Change Image"
"External URL","External URL"
"Get External","Get External"
Transparent,Transparent
"Solid Colored","Solid Colored"
"YouTube Video","YouTube Video"
ID:,ID:
"example: T8--OggjJKQ","example: T8--OggjJKQ"
"Cover Image:","Cover Image:"
"Vimeo Video","Vimeo Video"
"HTML5 Video","HTML5 Video"
MPEG:,MPEG:
"Change Video","Change Video"
WEBM:,WEBM:
OGV:,OGV:
"Source Info:","Source Info:"
"Read Only ! Image can be changed from ""Source Tab","Read Only ! Image can be changed from ""Source Tab"
"Image Source Size:","Image Source Size:"
Alt:,Alt:
"From Media Library","From Media Library"
"From Filename","From Filename"
Custom,Custom
Width:,Width:
Height:,Height:
"Start At:","Start At:"
"For Example: 00:17","For Example: 00:17"
"End At:","End At:"
"For Example: 02:17","For Example: 02:17"
"Mute Video:","Mute Video:"
"Video Volume:","Video Volume:"
"Arguments YouTube:","Arguments YouTube:"
"Arguments Vimeo:","Arguments Vimeo:"
"Background Fit:","Background Fit:"
"Background Position:","Background Position:"
"Background Repeat:","Background Repeat:"
"Parallax Feature in Slider Settings is deactivated, parallax will be ignored.","Parallax Feature in Slider Settings is deactivated, parallax will be ignored."
"Parallax Level:","Parallax Level:"
"No Parallax","No Parallax"
"Selected 3D Depth:","Selected 3D Depth:"
"3D Parallax is Enabled via Slider Settings !","3D Parallax is Enabled via Slider Settings !"
"Background 3D is Disabled","Background 3D is Disabled"
"To Enable 3D Parallax for Background please change the Option ""BG 3D Disabled"" to ""OFF"" via the Slider Settings !","To Enable 3D Parallax for Background please change the Option ""BG 3D Disabled"" to ""OFF"" via the Slider Settings !"
"Ken Burns / Pan Zoom:","Ken Burns / Pan Zoom:"
"Scale: (in %):","Scale: (in %):"
From,From
To,To
"Horizontal Offsets:","Horizontal Offsets:"
"Use Negative and Positive Values to offset from the Center !","Use Negative and Positive Values to offset from the Center !"
"Vertical Offsets:","Vertical Offsets:"
Rotation:,Rotation:
Easing:,Easing:
"Duration (in ms):","Duration (in ms):"
"The title of the slide, will be shown in the slides list.","The title of the slide, will be shown in the slides list."
"Slide ""Delay"":","Slide ""Delay"":"
"A new delay value for the Slide. If no delay defined per slide, the delay defined via Options (9000ms) will be used.","A new delay value for the Slide. If no delay defined per slide, the delay defined via Options (9000ms) will be used."
"Slide State:","Slide State:"
Published,Published
Unpublished,Unpublished
"The state of the slide. The unpublished slide will be excluded from the slider.","The state of the slide. The unpublished slide will be excluded from the slider."
"Store View:","Store View:"
"Slide will be visible on selected Store Views.","Slide will be visible on selected Store Views."
"Hide Slide After Loop:","Hide Slide After Loop:"
"After how many Loops should the Slide be hidden ? 0 = Slide is never hidden.","After how many Loops should the Slide be hidden ? 0 = Slide is never hidden."
"Hide Slide On Mobile:","Hide Slide On Mobile:"
"Show/Hide this Slide if Slider loaded on Mobile Device.","Show/Hide this Slide if Slider loaded on Mobile Device."
Language,Language
"The language of the slide (uses WPML plugin).","The language of the slide (uses WPML plugin)."
"Visible from:","Visible from:"
"If set, slide will be visible after the date is reached.","If set, slide will be visible after the date is reached."
"Visible until:","Visible until:"
"If set, slide will be visible till the date is reached.","If set, slide will be visible till the date is reached."
"Save Performance:","Save Performance:"
"Slide End Transition will first start when last Layer has been removed.","Slide End Transition will first start when last Layer has been removed."
Thumbnail:,Thumbnail:
"Slide Thumbnail. If not set - it will be taken from the slide image.","Slide Thumbnail. If not set - it will be taken from the slide image."
"Thumbnail Dimensions:","Thumbnail Dimensions:"
"From Slider Settings","From Slider Settings"
"Original Size","Original Size"
"Width and height of thumbnails can be changed in the Slider Settings -> Navigation -> Thumbs tab.","Width and height of thumbnails can be changed in the Slider Settings -> Navigation -> Thumbs tab."
"Thumbnail Admin Purpose:","Thumbnail Admin Purpose:"
"Use the Thumbnail also for Admin purposes. This will use the selected Thumbnail to represent the Slide in all Slider Admin area.","Use the Thumbnail also for Admin purposes. This will use the selected Thumbnail to represent the Slide in all Slider Admin area."
"Used Transitions (Order in Loops)","Used Transitions (Order in Loops)"
"Slot / Box Amount:","Slot / Box Amount:"
"# of slots/boxes the slide is divided into.","# of slots/boxes the slide is divided into."
"Slot Rotation:","Slot Rotation:"
"Start Rotation of Transition (deg).","Start Rotation of Transition (deg)."
"Animation Duration:","Animation Duration:"
"The duration of the transition.","The duration of the transition."
"Easing In:","Easing In:"
"The easing of Appearing transition.","The easing of Appearing transition."
"Easing Out:","Easing Out:"
"The easing of Disappearing transition.","The easing of Disappearing transition."
Parameter,Parameter
"Max. Chars","Max. Chars"
"Description of Slider:","Description of Slider:"
"Define a description here to show at the navigation if enabled in Slider Settings","Define a description here to show at the navigation if enabled in Slider Settings"
Class:,Class:
"Adds a unique class to the li of the Slide like class=""rev_special_class"" (add only the classnames, seperated by space)","Adds a unique class to the li of the Slide like class=""rev_special_class"" (add only the classnames, seperated by space)"
"Adds a unique ID to the li of the Slide like id=""rev_special_id"" (add only the id)","Adds a unique ID to the li of the Slide like id=""rev_special_id"" (add only the id)"
"Custom Fields:","Custom Fields:"
"Add as many attributes as you wish here. (i.e.: data-layer=""firstlayer"" data-custom=""somevalue"").","Add as many attributes as you wish here. (i.e.: data-layer=""firstlayer"" data-custom=""somevalue"")."
"Enable Link:","Enable Link:"
Enable,Enable
"Link the Full Slide to an URL or Action.","Link the Full Slide to an URL or Action."
"Link Type:","Link Type:"
Regular,Regular
"To Slide","To Slide"
"Regular - Link to URL,  To Slide - Call a Slide Action","Regular - Link to URL,  To Slide - Call a Slide Action"
"Slide Link:","Slide Link:"
"A link on the whole slide pic (use {{link}} or {{meta:somemegatag}} in template sliders to link to a post or some other meta)","A link on the whole slide pic (use {{link}} or {{meta:somemegatag}} in template sliders to link to a post or some other meta)"
"Link Target:","Link Target:"
"Same Window","Same Window"
"New Window","New Window"
"The target of the slide link.","The target of the slide link."
"Link To Slide:","Link To Slide:"
"Call Slide Action","Call Slide Action"
"Link Sensibility:","Link Sensibility:"
Front,Front
Back,Back
"The z-index position of the link related to layers","The z-index position of the link related to layers"
"Static / Global Layers","Static / Global Layers"
"Show Layers from Slide:","Show Layers from Slide:"
"Copy / Move","Copy / Move"
"Add to Templates","Add to Templates"
"Add Slide","Add Slide"
"Add Blank Slide","Add Blank Slide"
"Add Bulk Slides","Add Bulk Slides"
"Add from Template","Add from Template"
"Slide name should not be empty","Slide name should not be empty"
Style,Style
"Advanced Style on/off","Advanced Style on/off"
Animation,Animation
"Play/Pause Single Layer Animation","Play/Pause Single Layer Animation"
Loop,Loop
"Play/Pause Layer Loop Animation","Play/Pause Layer Loop Animation"
Visibility,Visibility
Behavior,Behavior
Attributes,Attributes
"Static Layers","Static Layers"
"Global Style Editor","Global Style Editor"
"Dynamic Styles (Not Editable):","Dynamic Styles (Not Editable):"
"Save Static Styles","Save Static Styles"
"Overwrite current static styles?","Overwrite current static styles?"
"Caption Style","Caption Style"
"Style Template","Style Template"
"More Style Settings","More Style Settings"
"Reset Style Template","Reset Style Template"
"Style Options","Style Options"
Save,Save
Rename,Rename
Reset,Reset
"Font Size (px)","Font Size (px)"
"Font Size","Font Size"
"Line Height (px)","Line Height (px)"
"Line Height","Line Height"
"White Space","White Space"
Normal,Normal
Pre,Pre
No-wrap,No-wrap
Pre-Wrap,Pre-Wrap
Pre-Line,Pre-Line
"Layer Align Left","Layer Align Left"
"Layer Align Center","Layer Align Center"
"Layer Align Right","Layer Align Right"
"Horizontal Offset from Aligned Position (px)","Horizontal Offset from Aligned Position (px)"
"Vertical Offset from Aligned Position (px)","Vertical Offset from Aligned Position (px)"
"HTML Tag for Layer","HTML Tag for Layer"
"HTML Tag","HTML Tag"
"Font Weight","Font Weight"
"Font Color","Font Color"
"Layer Align Top","Layer Align Top"
"Layer Align Middle","Layer Align Middle"
"Layer Align Bottom","Layer Align Bottom"
"Layer Width (px). Use 'auto' to respect White Space","Layer Width (px). Use 'auto' to respect White Space"
"Video Width (px). Use 'auto' to respect White Space","Video Width (px). Use 'auto' to respect White Space"
"Layer Height (px). Use 'auto' to respect White Space","Layer Height (px). Use 'auto' to respect White Space"
"Layer Height (px) Use 'auto' to respect White Space","Layer Height (px) Use 'auto' to respect White Space"
"Video Height (px). Use 'auto' to respect White Space","Video Height (px). Use 'auto' to respect White Space"
"Cover Mode","Cover Mode"
"Full Width","Full Width"
"Full Height","Full Height"
Stretch,Stretch
Cover,Cover
"Auto Linebreak (on/off - White Space:normal / nowrap).  ","Auto Linebreak (on/off - White Space:normal / nowrap).  "
"Keep Aspect Ratio (on/off)","Keep Aspect Ratio (on/off)"
"Reset original size","Reset original size"
Font,Font
Background,Background
Transform,Transform
Rotation,Rotation
Perspective,Perspective
Corners,Corners
Hover,Hover
Toggle,Toggle
"Font Opacity","Font Opacity"
"Italic Font","Italic Font"
"Italic Font On/Off","Italic Font On/Off"
"Font Decoration","Font Decoration"
underline,underline
overline,overline
line-through,line-through
"Text Align","Text Align"
Center,Center
"Layer is Selectable","Layer is Selectable"
"Layer is Seletable / Markable on Frontend","Layer is Seletable / Markable on Frontend"
"Background Color","Background Color"
"Background Opacity","Background Opacity"
Padding,Padding
"Padding Top","Padding Top"
"Padding Right","Padding Right"
"Padding Bottom","Padding Bottom"
"Padding Left","Padding Left"
"Background Position","Background Position"
"Left Top","Left Top"
"Center Top","Center Top"
"Right Top","Right Top"
"Left Center","Left Center"
"Center Center","Center Center"
"Right Center","Right Center"
"Left Bottom","Left Bottom"
"Center Bottom","Center Bottom"
"Right Bottom","Right Bottom"
"Background Size","Background Size"
Contain,Contain
"Border Color","Border Color"
"Border Opacity","Border Opacity"
"Border Style","Border Style"
dotted,dotted
dashed,dashed
solid,solid
double,double
"Border Width","Border Width"
"Border Radius (px)","Border Radius (px)"
"Border Radius Top Left","Border Radius Top Left"
"Border Radius Top Right","Border Radius Top Right"
"Border Radius Bottom Right","Border Radius Bottom Right"
"Border Radius Bottom Left","Border Radius Bottom Left"
"Rotation on X axis (+/-)","Rotation on X axis (+/-)"
"Rotation on Y axis (+/-)","Rotation on Y axis (+/-)"
"Rotation on Z axis (+/-)","Rotation on Z axis (+/-)"
"Horizontal Origin","Horizontal Origin"
"Vertical Origin","Vertical Origin"
"Opacity. (1 = 100% Visible / 0.5 = 50% opacaity / 0 = transparent)","Opacity. (1 = 100% Visible / 0.5 = 50% opacaity / 0 = transparent)"
"Opacity (1 = 100% Visible / 0.5 = 50% opacaity / 0 = transparent)","Opacity (1 = 100% Visible / 0.5 = 50% opacaity / 0 = transparent)"
"X Scale  1 = 100%, 0.5=50%... (+/-)","X Scale  1 = 100%, 0.5=50%... (+/-)"
"Y Scale  1 = 100%, 0.5=50%... (+/-)","Y Scale  1 = 100%, 0.5=50%... (+/-)"
"X Skew (+/-  px)","X Skew (+/-  px)"
"Y Skew (+/-  px)","Y Skew (+/-  px)"
Template,Template
Layer,Layer
"Layer Hover","Layer Hover"
"Hover Animation Speed (in ms)","Hover Animation Speed (in ms)"
"Hover Animation Easing","Hover Animation Easing"
"Mouse Cursor","Mouse Cursor"
auto,auto
default,default
crosshair,crosshair
pointer,pointer
move,move
text,text
wait,wait
help,help
